Entrada/Saída,Data,Movimentação,Produto,Instituição,Quantidade,Preço unitário,Valor da Operação
Debito,18/05/2021,Dividendo - Transferido,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,40 "," R$1,60 "
Credito,18/05/2021,Rendimento,IRDM11 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,1," R$1,16 "," R$1,15 "
Credito,07/05/2021,Juros Sobre Capital Próprio,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,08 "," R$0,26 "
Credito,07/05/2021,Juros Sobre Capital Próprio,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,07 "," R$0,24 "
Credito,07/05/2021,Juros Sobre Capital Próprio,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,08 "," R$0,29 "
Credito,07/05/2021,Juros Sobre Capital Próprio,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,07 "," R$0,25 "
Credito,07/05/2021,Dividendo,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,04 "," R$0,15 "
Credito,05/05/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,05/05/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,05/05/2021,Juros Sobre Capital Próprio,MGLU3 - MAGAZINE LUIZA S/A,NU INVEST CORRETORA DE VALORES S.A.,16," R$0,03 "," R$0,36 "
Credito,04/05/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,04/05/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,03/05/2021,Dividendo - Transferido,ARZZ3 - AREZZO INDUSTRIA E COMERCIO S.A.,NU INVEST CORRETORA DE VALORES S.A.,1," R$0,03 "," R$0,02 "
Debito,03/05/2021,Dividendo - Transferido,ARZZ3 - AREZZO INDUSTRIA E COMERCIO S.A.,NU INVEST CORRETORA DE VALORES S.A.,1," R$0,03 "," R$0,02 "
Credito,03/05/2021,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,03/05/2021,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,03/05/2021,Juros Sobre Capital Próprio,MDIA3 - M.DIAS BRANCO S/A INDUSTRIA E COMERCIO DE ALIMENTOS,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,46 "," R$1,17 "
Credito,29/04/2021,Juros Sobre Capital Próprio - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,06 "," R$0,19 "
Debito,29/04/2021,Juros Sobre Capital Próprio - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,06 "," R$0,19 "
